x                        chebyshev                chebyshev-jackson       
-5.95595595595595606e-01 +4.84188684341893549e-02 +2.38741378963600592e-02
-5.93593593593593649e-01 +4.42411672989809213e-02 +2.67027361304137401e-02
-5.91591591591591581e-01 +3.91483524041061903e-02 +2.97874082679495666e-02
-5.89589589589589513e-01 +3.31902633904659905e-02 +3.31397619895937856e-02
-5.87587587587587556e-01 +2.64313306952868587e-02 +3.67710832423934209e-02
-5.85585585585585600e-01 +1.89500661790074632e-02 +4.06922746246710654e-02
-5.83583583583583643e-01 +1.08383739816378943e-02 +4.49137943353977720e-02
-5.81581581581581575e-01 +2.20069081951185241e-03 +4.94455960629891500e-02
-5.79579579579579507e-01 -6.84703300593630937e-03 +5.42970701847145243e-02
-5.77577577577577550e-01 -1.61784987338504660e-02 +5.94769866415842952e-02
-5.75575575575575593e-01 -2.56583555675469754e-02 +6.49934398446951889e-02
-5.73573573573573636e-01 -3.51436120923624973e-02 +7.08537959576770460e-02
-5.71571571571571568e-01 -4.44851451466255488e-02 +7.70646428861881949e-02
-5.69569569569569500e-01 -5.35292876072038792e-02 +8.36317432894531088e-02
-5.67567567567567544e-01 -6.21194758009605552e-02 +9.05599909107829282e-02
-5.65565565565565587e-01 -7.00979367543109744e-02 +9.78533705039948964e-02
-5.63563563563563630e-01 -7.73073952455866076e-02 +1.05514921610826762e-01
-5.61561561561561562e-01 -8.35927806264021855e-02 +1.13546706420979637e-01
-5.59559559559559494e-01 -8.88029136230906735e-02 +1.21949781921524392e-01
-5.57557557557557537e-01 -9.27921538090059617e-02 +1.30724176516236579e-01
-5.55555555555555580e-01 -9.54219891419149091e-02 +1.39868871268195361e-01
-5.53553553553553623e-01 -9.65625498742137545e-02 +1.49381785890887575e-01
-5.51551551551551555e-01 -9.60940302514596834e-02 +1.59259769584313760e-01
-5.49549549549549488e-01 -9.39080026989461691e-02 +1.69498596783385858e-01
-5.47547547547547531e-01 -8.99086106373467864e-02 +1.80092967856464226e-01
-5.45545545545545574e-01 -8.40136276459791942e-02 +1.91036514762392140e-01
-5.43543543543543617e-01 -7.61553723841329466e-02 +2.02321811645067018e-01
-5.41541541541541549e-01 -6.62814704644558716e-02 +2.13940390315618290e-01
-5.39539539539539481e-01 -5.43554563244923461e-02 +2.25882760543860472e-01
-5.37537537537537524e-01 -4.03572100397003863e-02 +2.38138435053010911e-01
-5.35535535535535567e-01 -2.42832259404428541e-02 +2.50695959084909381e-01
-5.33533533533533610e-01 -6.14671181364034869e-03 +2.63542944377286315e-01
-5.31531531531531543e-01 +1.40224806352990949e-02 +2.76666107370209136e-01
-5.29529529529529475e-01 +3.61780915343227205e-02 +2.90051311435762460e-01
-5.27527527527527518e-01 +6.02578504990081143e-02 +3.03683612903496658e-01
-5.25525525525525561e-01 +8.61840301764087435e-02 +3.17547310634267776e-01
-5.23523523523523604e-01 +1.13864148065479620e-01 +3.31625998876939332e-01
-5.21521521521521536e-01 +1.43191807518228686e-01 +3.45902623126108533e-01
-5.19519519519519468e-01 +1.74047667474131806e-01 +3.60359538684600134e-01
-5.17517517517517511e-01 +2.06300529272253286e-01 +3.74978571622070600e-01
-5.15515515515515554e-01 +2.39808527831070983e-01 +3.89741081810657031e-01
-5.13513513513513598e-01 +2.74420413593373658e-01 +4.04628027710273619e-01
-5.11511511511511530e-01 +3.09976910908972059e-01 +4.19620032569934520e-01
-5.09509509509509462e-01 +3.46312137975197998e-01 +4.34697451707292792e-01
-5.07507507507507505e-01 +3.83255073076440245e-01 +4.49840440526545149e-01
-5.05505505505505548e-01 +4.20631051659000388e-01 +4.65029022934798419e-01
-5.03503503503503480e-01 +4.58263278744559965e-01 +4.80243159819014331e-01
-5.01501501501501523e-01 +4.95974341320489343e-01 +4.95462817249616494e-01
-4.99499499499499455e-01 +5.33587705642595278e-01 +5.10668034082738420e-01
-4.97497497497497498e-01 +5.70929184838166570e-01 +5.25838988640794813e-01
-4.95495495495495542e-01 +6.07828362795862942e-01 +5.40956064160567407e-01
-4.93493493493493474e-01 +6.44119961063430391e-01 +5.55999912709113420e-01
-4.91491491491491517e-01 +6.79645136333458799e-01 +5.70951517280525844e-01
-4.89489489489489449e-01 +7.14252697068584519e-01 +5.85792251800745234e-01
-4.87487487487487492e-01 +7.47800228887399832e-01 +6.00503938783066071e-01
-4.85485485485485535e-01 +7.80155119486961368e-01 +6.15068904393758831e-01
-4.83483483483483467e-01 +8.11195475102201580e-01 +6.29470030704945671e-01
-4.81481481481481510e-01 +8.40810921782142451e-01 +6.43690804930643345e-01
-4.79479479479479442e-01 +8.68903286082170379e-01 +6.57715365461457480e-01
-4.77477477477477485e-01 +8.95387151115650481e-01 +6.71528544533590677e-01
-4.75475475475475529e-01 +9.20190285261963115e-01 +6.85115907388658796e-01
-4.73473473473473461e-01 +9.43253942176673243e-01 +6.98463787801945624e-01
-4.71471471471471504e-01 +9.64533032079078589e-01 +7.11559319878168894e-01
-4.69469469469469436e-01 +9.83996165588992611e-01 +7.24390466035407909e-01
-4.67467467467467479e-01 +1.00162557263548413e+00 +7.36946041119361239e-01
-4.65465465465465522e-01 +1.01741690015352670e+00 +7.49215732611556717e-01
-4.63463463463463454e-01 +1.03137889340883060e+00 +7.61190116916249160e-01
-4.61461461461461497e-01 +1.04353296683676433e+00 +7.72860671731508297e-01
-4.59459459459459429e-01 +1.05391267123922283e+00 +7.84219784530281183e-01
-4.57457457457457473e-01 +1.06256306504584819e+00 +7.95260757196804224e-01
-4.55455455455455516e-01 +1.06953999810690314e+00 +8.05977806882720138e-01
-4.53453453453453448e-01 +1.07490931713890170e+00 +8.16366063165316902e-01
-4.51451451451451491e-01 +1.07874600248714447e+00 +8.26421561607548760e-01
-4.49449449449449423e-01 +1.08113324629884699e+00 +8.36141233835714814e-01
-4.47447447447447466e-01 +1.08216148251533051e+00 +8.45522894265830161e-01
