problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk26.mtx          1922 LU    1  7.3    0.0    0.0  512    0.3    0.6
bcsstk26.mtx          1922 LU    1  7.3    0.0    0.0 1024    0.7    1.4
bcsstk26.mtx          1922 LU    1  7.3    0.0    0.0 2048    1.5    3.1
bcsstk26.mtx          1922 DS   13 57.3    0.1    0.3  256    0.1    0.2
bcsstk26.mtx          1922 DS   13 57.3    0.1    0.3  512    0.2    0.4
bcsstk26.mtx          1922 DS   13 57.3    0.1    0.3 1024    0.5    1.0
bcsstk26.mtx          1922 DS   13 57.3    0.1    0.3 2048    0.8    1.5
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk27.mtx          1224 LL    0  1.8    0.0    0.0  256    0.1    0.1
bcsstk27.mtx          1224 LL    0  1.8    0.0    0.0  512    0.1    0.2
bcsstk27.mtx          1224 LL    0  1.8    0.0    0.0 1024    0.3    0.5
bcsstk27.mtx          1224 LL    0  1.8    0.0    0.0 2048    0.6    1.2
bcsstk27.mtx          1224 LU    1  2.4    0.0    0.0  256    0.1    0.2
bcsstk27.mtx          1224 LU    1  2.4    0.0    0.0  512    0.2    0.3
bcsstk27.mtx          1224 LU    1  2.4    0.0    0.0 1024    0.4    0.7
bcsstk27.mtx          1224 LU    1  2.4    0.0    0.0 2048    0.8    1.6
bcsstk27.mtx          1224 DS    5 12.6    0.1    0.2  256    0.1    0.1
bcsstk27.mtx          1224 DS    5 12.6    0.1    0.2  512    0.1    0.2
bcsstk27.mtx          1224 DS    5 12.6    0.1    0.2 1024    0.4    0.8
bcsstk27.mtx          1224 DS    5 12.6    0.1    0.2 2048    0.4    0.9
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk28.mtx          4410 LL    9  5.8    0.2    0.2  256    0.6    1.3
bcsstk28.mtx          4410 LL    9  5.8    0.2    0.2  512    1.4    2.7
bcsstk28.mtx          4410 LL    9  5.8    0.2    0.2 1024    2.8    5.6
bcsstk28.mtx          4410 LL    9  5.8    0.2    0.2 2048    5.9   11.3
bcsstk28.mtx          4410 LU   11  6.6    0.2    0.5  256    0.8    1.5
bcsstk28.mtx          4410 LU   11  6.6    0.2    0.5  512    1.6    3.2
bcsstk28.mtx          4410 LU   11  6.6    0.2    0.5 1024    3.3    6.7
bcsstk28.mtx          4410 LU   11  6.6    0.2    0.5 2048    6.9   13.3
bcsstk28.mtx          4410 DS   22 13.4    1.0    1.7  256    0.7    1.3
bcsstk28.mtx          4410 DS   22 13.4    1.0    1.7  512    0.9    1.8
bcsstk28.mtx          4410 DS   22 13.4    1.0    1.7 1024    2.3    3.8
bcsstk28.mtx          4410 DS   22 13.4    1.0    1.7 2048    2.5    4.8
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk36.mtx         23052 LL  109 12.6    3.1    3.1  256    7.4   14.6
bcsstk36.mtx         23052 LL  109 12.6    3.1    3.1  512   15.1   29.7
bcsstk36.mtx         23052 LL  109 12.6    3.1    3.1 1024   30.5   58.2
bcsstk36.mtx         23052 LL  109 12.6    3.1    3.1 2048   62.0  113.1
bcsstk36.mtx         23052 LU  164 18.9    6.0    6.0  256   13.5   26.4
bcsstk36.mtx         23052 LU  164 18.9    6.0    6.0  512   27.1   51.4
bcsstk36.mtx         23052 LU  164 18.9    6.0    6.0 1024   54.6   97.3
bcsstk36.mtx         23052 LU  164 18.9    6.0    6.0 2048  110.3  185.4
bcsstk36.mtx         23052 DS  115 13.2   19.7   35.2  256   16.8   33.4
bcsstk36.mtx         23052 DS  115 13.2   19.7   35.2  512   18.6   36.9
bcsstk36.mtx         23052 DS  115 13.2   19.7   35.2 1024   22.9   44.8
bcsstk36.mtx         23052 DS  115 13.2   19.7   35.2 2048   30.3   59.2
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk38.mtx          8032 LL   19  7.4    0.4    0.4  256    1.3    2.6
bcsstk38.mtx          8032 LL   19  7.4    0.4    0.4  512    2.8    5.5
bcsstk38.mtx          8032 LL   19  7.4    0.4    0.4 1024    5.7   11.2
bcsstk38.mtx          8032 LL   19  7.4    0.4    0.4 2048   11.9   23.0
bcsstk38.mtx          8032 LU   29 10.7    0.7    1.0  256    2.1    4.2
bcsstk38.mtx          8032 LU   29 10.7    0.7    1.0  512    4.4    8.7
bcsstk38.mtx          8032 LU   29 10.7    0.7    1.0 1024    8.9   17.5
bcsstk38.mtx          8032 LU   29 10.7    0.7    1.0 2048   18.3   35.3
bcsstk38.mtx          8032 DS   36 13.6    3.0    5.2  256    2.3    4.6
bcsstk38.mtx          8032 DS   36 13.6    3.0    5.2  512    2.8    5.6
bcsstk38.mtx          8032 DS   36 13.6    3.0    5.2 1024    3.8    7.5
